waf_id,pillar_name,principle,best_practice,capabilities,details,query_table_name,threshold_percentage,metric_definition,recommendation_if_not_met,evaluation_type
IU-03-04,02 - Interoperability and Usability,Simplify new use case implementation,Use AI capabilities to increase productivity,Databricks Assistant,"In addition to increasing productivity, AI tools can also help identify patterns in errors and provide additional insights based on the input. Overall, incorporating these tools into the development process can greatly reduce errors and facilitate decision-making - leading to faster time to release.

Databricks Assistant lets you query data through a conversational interface, making you more productive inside Databricks. Describe your task in English and let the Assistant generate SQL queries, explain complex code and automatically fix errors. The Assistant leverages Unity Catalog metadata to understand your tables, columns, descriptions and popular data assets across your company to provide responses that are personalized to you. 

AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Use AI capabilities to increase productivity.,"In addition to increasing productivity, AI tools can also help identify patterns in errors and provide additional insights based on the input.",automatic
IU-04-01,02 - Interoperability and Usability,Ensure data consistency and usability,Offer reusable data-as-products that the business can trust,,"Data-as-products is a data strategy that can help organizations harness the full potential of their data assets. The raw data into a structured, accessible and valuable product. 

Producing high-quality data-as-product is a primary goal of any data platform. The idea is that data engineering teams apply product thinking to the curated data: The data assets are their products, and the data scientists, ML and BI engineers, or any other business teams that consume data are their customers. These customers should be able to discover, address, and create value from these data-as-products through a self-service experience without the intervention of the specialized data teams. 

eBook",waf_controls_i,80,Percentage of applicable resources that satisfy: Offer reusable data-as-products that the business can trust.,Data-as-products is a data strategy that can help organizations harness the full potential of their data assets.,automatic
IU-04-02,02 - Interoperability and Usability,Ensure data consistency and usability,Publish data products semantically consistent across the enterprise,,"A data lake usually contains data from different source systems. These systems sometimes name the same concept differently (such as customer vs. account) or mean different concepts by the same identifier. For business users to easily combine these data sets in a meaningful way, the data must be made homogeneous across all sources to be semantically consistent. In addition, for some data to be valuable for analysis, internal business rules must be applied correctly, such as revenue recognition. To ensure that all users are using the correctly interpreted data, data sets with these rules must be made available and published to Unity Catalog. Access to source data must be limited to teams that understand the correct usage. 

eBook",waf_controls_i,80,Percentage of applicable resources that satisfy: Publish data products semantically consistent across the enterprise.,A data lake usually contains data from different source systems.,automatic
IU-04-03,02 - Interoperability and Usability,Ensure data consistency and usability,Provide a central catalog for discovery and lineage,Unity Catalog,"A central catalog for discovery and lineage helps data consumers access data from multiple sources across the enterprise, thus reducing operational overhead for the central governance team.

In Unity Catalog, administrators and data stewards manage users and their access to data centrally across all workspaces in a Databricks account. Users in different workspaces can share the same data and, depending on user privileges granted centrally in Unity Catalog, can access data together.

AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Provide a central catalog for discovery and lineage.,"A central catalog for discovery and lineage helps data consumers access data from multiple sources across the enterprise, thus reducing operational overhead for the central governance team.",automatic
OE-01-01,03 - Operational Excellence,Optimize build and release processes,Create a dedicated Lakehouse operations team,,"It is a general best practice to have a platform operations team to enable data teams to work on one or more data platforms. This team is responsible for coming up with blueprints and best practices internally. They provide tooling - for example, for infrastructure automation and self-service access - and ensure that security and compliance needs are met. This way, the burden of securing platform data is on a central team, so that distributed teams can focus on working with data and producing new insights.",waf_controls_o,80,Percentage of applicable resources that satisfy: Create a dedicated Lakehouse operations team.,It is a general best practice to have a platform operations team to enable data teams to work on one or more data platforms.,automatic
OE-01-02,03 - Operational Excellence,Optimize build and release processes,Use enterprise source code management (SCM),Databricks Git Folders,"Source code management (SCM) helps developers work more effectively, which can lead to faster release velocity and lower development costs. Having a tool that helps track changes, maintain code integrity, detect bugs, and roll back to previous versions if need be is an important component of your overall solution architecture.

Databricks Git folders allow users to store notebooks or other files in a Git repository, providing features like cloning a repository, committing and pushing, pulling, branch management and viewing file diffs. Use Git folders for better code visibility and tracking. 

AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Use enterprise source code management (SCM).,"Source code management (SCM) helps developers work more effectively, which can lead to faster release velocity and lower development costs.",automatic
OE-01-03,03 - Operational Excellence,Optimize build and release processes,Standardize DevOps processes (CI/CD),Databricks Git Folders,"Continuous integration and continuous delivery (CI/CD) refer to developing and delivering software in short, frequent cycles using automation pipelines. While this is by no means a new process, having been ubiquitous in traditional software engineering for decades, it is becoming an increasingly necessary process for data engineering and data science teams. For data products to be valuable, they must be delivered in a timely way. Additionally, consumers must have confidence in the validity of outcomes within these products. By automating the building, testing, and deployment of code, development teams can deliver releases more frequently and reliably than manual processes still prevalent across many data engineering and data science teams.

For more information about best practices for code development using Databricks Git folders, see CI/CD techniques with Git and Databricks Git folders (Repos). This, together with the Databricks REST API, allows you to build automated deployment processes with GitHub Actions, Azure DevOps pipelines, or Jenkins jobs. 

AWS | Azure | GCP
AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Standardize DevOps processes (CI/CD).,"Continuous integration and continuous delivery (CI/CD) refer to developing and delivering software in short, frequent cycles using automation pipelines.",automatic
OE-01-04,03 - Operational Excellence,Optimize build and release processes,Standardize MLOps processes across enterprise,MLFlow,"MLOps processes provide reproducibility of ML pipelines, enabling more tightly-coupled collaboration across data teams, reducing conflict with devops and IT, and accelerating release velocity. As many models are used to drive key business decisions, standardizing MLops processes ensure that models are developed, tested, and deployed in a consistent and reliable way.

Building and deploying ML models is complex. There are many options available to achieve this, but little in the way of well-defined standards. As a result, over the past few years, we have seen the emergence of machine learning operations (MLOps). MLOps is a set of processes and automation for managing models, data, and code to improve performance stability and long-term efficiency in ML systems. It covers data preparation, exploratory data analysis (EDA), feature engineering, model training, model validation, deployment, and monitoring. 

AWS | Azure | GCP
AWS | Azure | GCP
eBook",waf_controls_o,80,Percentage of applicable resources that satisfy: Standardize MLOps processes across enterprise.,"MLOps processes provide reproducibility of ML pipelines, enabling more tightly-coupled collaboration across data teams, reducing conflict with devops and IT, and accelerating release velocity.",automatic
OE-01-05,03 - Operational Excellence,Optimize build and release processes,Define environment isolation strategy,Databricks Workspaces,"Organizing workspaces in Databricks offers several benefits that enhance the efficiency and security of data operations within an enterprise. Key advantages include:

1. Structured Environment: Implementing structured environments such as development, staging, and production workspaces helps streamline processes and maintain consistency across different stages of project development

2. Isolation and Security: Workspaces can be isolated by line of business or data product, which not only improves governance by clearly dividing users and roles but also enhances security by restricting access based on specific business needs or data characteristics

3. Flexibility and Collaboration: Data product-based isolation allows for more flexibility and collaborative opportunities within shared development environments and sandbox workspaces, fostering innovation without risking the main workflow

4. Disaster Recovery: Organized workspaces facilitate the implementation of disaster recovery plans and regional backups, ensuring data integrity and availability in case of incidents[1].

5. Governance and Compliance: Centralized governance through a Center of Excellence (COE) and the use of Databricks' governance features help minimize risks and ensure compliance with regulatory requirements

6. Automation and Efficiency: Automating cloud processes, including infrastructure management, CI/CD, backup, and monitoring, reduces manual overhead and increases operational efficiency

These benefits collectively support a robust, secure, and efficient framework for managing large-scale data operations, making Databricks an effective tool for enterprise data management and analysis
Blog",waf_controls_o,80,Percentage of applicable resources that satisfy: Define environment isolation strategy.,Organizing workspaces in Databricks offers several benefits that enhance the efficiency and security of data operations within an enterprise.,automatic
OE-01-06,03 - Operational Excellence,Optimize build and release processes,"Streamline the usage and management of various
large language model (LLM) providers",,"External models are third-party models hosted outside of Databricks. Supported by Model Serving AI Gateway, Databricks external models via the AI Gateway allow you to streamline the usage and management of various large language model (LLM) providers, such as OpenAI and Anthropic, within an organization. You can also use Mosaic AI Model Serving as a provider to serve predictive ML models, which offers rate limits for those endpoints. As part of this support, Model Serving offers a high-level interface that simplifies the interaction with these services by providing a unified endpoint to handle specific LLM-related requests. In addition, Databricks support for external models provides centralized credential management. By storing API keys in one secure location, organizations can enhance their security posture by minimizing the exposure of sensitive API keys throughout the system. It also helps to prevent exposing these keys within code or requiring end users to manage keys safely.

AWS | Azure | GCP",waf_controls_o,80,"Percentage of applicable resources that satisfy: Streamline the usage and management of various
large language model (LLM) providers.",External models are third-party models hosted outside of Databricks.,automatic
OE-01-07,03 - Operational Excellence,Optimize build and release processes,Define catalog strategy for your enterprise,Unity Catalog,,waf_controls_o,80,Percentage of applicable resources that satisfy: Define catalog strategy for your enterprise.,Implement: Define catalog strategy for your enterprise.,automatic
OE-01-08,03 - Operational Excellence,Optimize build and release processes,Compare LLM outputs on set prompts,Databricks LLM Playground,"New, no-code visual tools allow users to compare models’ output based on set prompts, which are automatically tracked within MLflow. With integration into Mosaic AI Model Serving, customers can deploy the best model to production. The AI Playground is a chat-like environment where you can test, prompt and compare LLMs.

AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Compare LLM outputs on set prompts.,"New, no-code visual tools allow users to compare models’ output based on set prompts, which are automatically tracked within MLflow.",automatic
OE-01-09,03 - Operational Excellence,Optimize build and release processes,"Build models with all representative, accurate and relevant data sources",,"Harnessing internal data and intellectual
property to customize large AI models can offer
a significant competitive edge. However, this
process can be complex, involving coordination
across various parts of the organization. The Data
Intelligence Platform addresses this challenge
by integrating data across traditionally isolated
departments and systems. This integration
facilitates a more cohesive data and AI strategy,
enabling the effective training, testing and
evaluation of models using a comprehensive
dataset. Use caution when preparing data for
traditional models and GenAI training to ensure
that you are not unintentionally including data
that causes legal conflicts, such as copyright
violations, privacy violations or HIPAA violations.",waf_controls_o,80,"Percentage of applicable resources that satisfy: Build models with all representative, accurate and relevant data sources.","Harnessing internal data and intellectual
property to customize large AI models can offer
a significant competitive edge.",automatic
OE-02-01,03 - Operational Excellence,Automate deployments and workloads,Use Infrastructure as Code for deployments and maintenance,Databricks Terraform Provider,"Infrastructure as Code allows developers and operations teams to automatically manage, monitor, and provision resources, instead of manually configuring hardware devices, operating systems, applications, and services.

HashiCorp Terraform is a popular open source tool for creating safe and predictable cloud infrastructure across several cloud providers. The Databricks Terraform provider manages Databricks workspaces and the associated cloud infrastructure using a flexible, powerful tool. The goal of the Databricks Terraform provider is to support all Databricks REST APIs, supporting automation of the most complicated aspects of deploying and managing your data platforms. The Databricks Terraform provider is the recommended tool to deploy and manage clusters and jobs reliably, provision Databricks workspaces, and configure data access. 
AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Use Infrastructure as Code for deployments and maintenance.,"Infrastructure as Code allows developers and operations teams to automatically manage, monitor, and provision resources, instead of manually configuring hardware devices, operating systems, applications, and services.",automatic
OE-02-02,03 - Operational Excellence,Automate deployments and workloads,Standardize compute configurations,Compute Policies,"Pre-defined compute templates can help bring some of the benefits of serverless when it's not available. Mainly, these templates remove the need for developers to provision their own compute and determine infrastructure needs, thus speeding up time to development.

Use cluster policies to define t-shirt-sized clusters (S, M, L) for projects as a standardized work environment.
Blog
AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Standardize compute configurations.,Pre-defined compute templates can help bring some of the benefits of serverless when it's not available.,automatic
OE-02-03,03 - Operational Excellence,Automate deployments and workloads,Use automated workflows for jobs,Databricks Workflows,"Setting up automated workflows for jobs can help reduce unnecessary manual tasks and improve productivity through the DevOps process of creating and deploying jobs.

We recommend using workflows with jobs to schedule data processing and data analysis tasks on Databricks clusters with scalable resources. Jobs can consist of a single task or a large, multitask workflow with complex dependencies. Databricks manages task orchestration, cluster management, monitoring, and error reporting for all your jobs. You can run your jobs immediately or periodically through an easy-to-use scheduling system. You can implement job tasks using notebooks, JARS, Delta Live Tables pipelines, or Python, Scala, Spark submit, and Java applications. See Introduction to Databricks Workflows. 
AWS | Azure | GCP

The comprehensive Databricks REST API is used by external orchestrators to orchestrate Databricks assets, notebooks, and jobs. 
AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Use automated workflows for jobs.,Setting up automated workflows for jobs can help reduce unnecessary manual tasks and improve productivity through the DevOps process of creating and deploying jobs.,automatic
OE-02-04,03 - Operational Excellence,Automate deployments and workloads,Use automated and event driven file ingestion,Autoloader,"Event-driven (vs. schedule-driven) file ingestion has several benefits, including efficiency, increased data freshness, and real-time data ingestion. Running a job only when an event occurs ensures you're not wasting resources, thus saving costs. Event-driven architectures can also incorporate security measures like role-based access control and audit logging, thus improving overall security posture and protecting data.

Auto Loader incrementally and efficiently processes new data files as they arrive in cloud storage. It can ingest many file formats like JSON, CSV, PARQUET, AVRO, ORC, TEXT, and BINARYFILE. With an input folder on the cloud storage, Auto Loader automatically processes new files as they arrive.
For one-off ingestions, consider using the command COPY INTO instead. 

AWS | Azure | GCP
AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Use automated and event driven file ingestion.,Implement: Use automated and event driven file ingestion.,automatic
OE-02-05,03 - Operational Excellence,Automate deployments and workloads,Use ETL frameworks for data pipelines,Delta Live Tables,"Using ETL frameworks helps improve data quality, saves time, and makes it easier to analyze larger datasets. They also help eliminate data errors, bottlenecks, and latency.

Delta Live Tables is a declarative framework for building reliable, maintainable, and testable data processing pipelines. You define the transformations to perform on your data and Delta Live Tables manages task orchestration, cluster management, monitoring, data quality, and error handling.

With Delta Live Tables, easily define end-to-end data pipelines in SQL or Python: Specify the data source, the transformation logic, and the destination state of the data. Delta Live Tables maintains dependencies and automatically determines the infrastructure to run the job in.

To manage data quality, Delta Live Tables monitors data quality trends over time, preventing bad data from flowing into tables through validation and integrity checks with predefined error policies.

AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Use ETL frameworks for data pipelines.,"Using ETL frameworks helps improve data quality, saves time, and makes it easier to analyze larger datasets.",automatic
OE-02-06,03 - Operational Excellence,Automate deployments and workloads,Follow the deploy-code approach for ML workloads,MLFlow,"Deploying models as code is taking a DevOps approach to machine learning. This approach has several benefits. Models are versioned along with other code, releases are deployed as a unit, and deployments are reproducible (fallback is possible).

The deploy-code approach to model deployment involves developing and testing training code and ancillary code in a training environment, followed by promotion to a staging environment for further testing on a subset of data. Once validated, the code is promoted to a production environment for final training and testing on the full dataset. The model and ancillary pipelines are then deployed. 

AWS | Azure | GCP
AWS | Azure | GCP
eBook",waf_controls_o,80,Percentage of applicable resources that satisfy: Follow the deploy-code approach for ML workloads.,Deploying models as code is taking a DevOps approach to machine learning.,automatic
OE-02-07,03 - Operational Excellence,Automate deployments and workloads,Use a model registry to decouple code and model lifecycle,Unity Catalog,"Since model lifecycles do not correspond one-to-one with code lifecycles, it makes sense for model management to have its own service. 

Unity Catalog in Databricks offers a comprehensive solution for managing the lifecycle of machine learning (ML) models, providing features such as centralized access control, versioning, deployment, and monitoring. By enabling Unity Catalog in your workspace, you can train, register, and manage different versions of ML models using MLflow APIs, with support for aliases to facilitate model promotion and rollback. 

The catalog ensures robust governance with account-level permissions and integrates seamlessly with other tools and systems. It also supports model serving at scale and provides detailed lineage and real-time performance monitoring, ensuring that models remain effective and compliant throughout their lifecycle.

AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Use a model registry to decouple code and model lifecycle.,"Since model lifecycles do not correspond one-to-one with code lifecycles, it makes sense for model management to have its own service.",automatic
OE-02-08,03 - Operational Excellence,Automate deployments and workloads,Automate ML experiment tracking,MLFlow,"Tracking ML experiments is the process of saving relevant metadata for each experiment and organizing the experiments. This metadata includes experiment inputs/outputs, parameters, models, and other artifacts. The goal of experiment tracking is to create reproducible results across every stage of the ML model development process. Automating this process makes scaling the number of experiments easier, and ensures cosistency in the metadata captured across all experiments.

Databricks Autologging is a no-code solution that extends MLflow automatic logging to deliver automatic experiment tracking for machine learning training sessions on Databricks. Databricks Auto Logging automatically captures model parameters, metrics, files and lineage information when you train models with training runs recorded as MLflow tracking runs. 

AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Automate ML experiment tracking.,Tracking ML experiments is the process of saving relevant metadata for each experiment and organizing the experiments.,automatic
OE-02-09,03 - Operational Excellence,Automate deployments and workloads,Reuse the same infrastructure to manage ML pipelines,Databricks Terraform provider,"The data use for ML pipelines comes from the same sources as data used for other data pipelines. In addition, ML and data pipelines are similar in that they both should be monitored regularly and involve preparation of data for analysis by business users or model training. They both also need to be scalable and secure. In both cases, the infrastructure used should support these activities.

ML pipelines should be automated using many of the same techniques as other data pipelines. Use Databricks Terraform provider to automate deployment. ML requires deploying infrastructure such as inference jobs, serving endpoints, and featurization jobs. All ML pipelines can be automated as Workflows with Jobs, and many data-centric ML pipelines can use the more specialized Auto Loader to ingest images and other data and Delta Live Tables to compute features or to monitor metrics. 

Terraform docs",waf_controls_o,80,Percentage of applicable resources that satisfy: Reuse the same infrastructure to manage ML pipelines.,The data use for ML pipelines comes from the same sources as data used for other data pipelines.,automatic
OE-02-10,03 - Operational Excellence,Automate deployments and workloads,Utilize declarative management for complex data and ML pipelines,Databricks Asset Bundles,"Declarative frameworks within MLOps, allow teams to define desired outcomes in high-level terms, letting the system handle the specifics of execution, thereby simplifying the deployment and scaling of ML models. These frameworks support continuous integration and delivery, automate testing and infrastructure management, and ensure model governance and compliance, ultimately speeding up time to market and enhancing productivity across the ML lifecycle.

Databricks Asset Bundles (DABs) are a new tool for streamlining the development of complex data, analytics, and ML projects for the Databricks platform. Bundles make it easy to manage complex projects during active development by providing CI/CD capabilities in your software development workflow with a single concise and declarative YAML syntax. By using bundles to automate your project’s tests, deployments, and configuration management you can reduce errors while promoting software best practices across your organization as templated projects. 

AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Utilize declarative management for complex data and ML pipelines.,"Declarative frameworks within MLOps, allow teams to define desired outcomes in high-level terms, letting the system handle the specifics of execution, thereby simplifying the deployment and scaling of ML models.",automatic
OE-02-11,03 - Operational Excellence,Automate deployments and workloads,Automate LLM evaluation,,"The “LLM-as-a-judge” feature in MLflow 2.8 automates LLM evaluation, offering a practical alternative to human judgment. It’s designed to be efficient and cost-effective, maintaining consistency with human scores. This tool supports various metrics, including standard and customizable GenAI metrics, and allows users to select an LLM as a judge and define specific grading criteria.

AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Automate LLM evaluation.,"The “LLM-as-a-judge” feature in MLflow 2.8 automates LLM evaluation, offering a practical alternative to human judgment.",automatic
OE-03-01,03 - Operational Excellence,"Set up Monitoring, Alerting and Logging",Establish monitoring processes,Databricks Platform,"Monitoring provides important information about jobs and data that can help drive decision-making when a job fails or data is missing - as well as alerts when these events take place, so you can take timely action.

You can track metrics such as the number of failed jobs, tables that are not receiving data, the latest ingested timestamp, table ingest rate, and the runtime of queries",waf_controls_o,80,Percentage of applicable resources that satisfy: Establish monitoring processes.,"Monitoring provides important information about jobs and data that can help drive decision-making when a job fails or data is missing - as well as alerts when these events take place, so you can take timely action.",automatic
OE-03-02,03 - Operational Excellence,"Set up Monitoring, Alerting and Logging",Use native and external tools for platform monitoring,Databricks Lakehouse Monitoring; Cloud Provided Tooling; Databricks SQL Alerts,"Using native and external tools for monitoring provides information about your data and workloads that may help identify a potential problem before it occurs.

Integration with Cloud Monitoring Services: 
- For Databricks on AWS, you can integrate with Amazon CloudWatch to monitor your Databricks environment. CloudWatch allows you to derive metrics from logs and set up alerts.
- Similarly, for Azure Databricks, you can use Azure Monitor to send monitoring data from Databricks and set up advanced monitoring and alerting capabilities.

Databricks Lakehouse Monitoring: This feature lets you monitor the statistical properties and quality of the data in all the tables in your account. It also allows you to track the performance of machine learning models by monitoring inference tables that contain model inputs and predictions
AWS | Azure | GCP

Databricks SQL alerts can monitor the metrics table for security-based conditions, ensuring data integrity and timely response to potential issues:
- Statistic range Alert: Triggers when a specific statistic, such as the fraction of missing values, exceeds a predetermined threshold
- Data distribution shift alert: Activates upon shifts in data distribution, as indicated by the drift metrics table
- Baseline divergence alert: Alerts if data significantly diverges from a baseline, suggesting potential needs for data analysis or model retraining, particularly in InferenceLog analysis
AWS | Azure | GCP

Delta Live Tables pipeline monitoring: Use built-in features in Delta Live Tables for monitoring and observability for pipelines, including data lineage, update history, and data quality reporting.
AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Use native and external tools for platform monitoring.,Using native and external tools for monitoring provides information about your data and workloads that may help identify a potential problem before it occurs.,automatic
OE-03-03,03 - Operational Excellence,"Set up Monitoring, Alerting and Logging",Establish an incident response strategy,,"It is critical to have an incident response strategy to minimize the risk of business disruption and financial, operational, and reputational damage to your organization.

This includes understanding the process for submitting.a support ticket with Databricks and the esclation process as well as having it documented for your broader organization to reference.

Databricks regularly provides previews to give you a chance to evaluate and provide feedback on features before they’re generally available (GA). Previews come in various degrees of maturity with different support options based on release type. This documentation outlines the support details for each release type.

AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Establish an incident response strategy.,"It is critical to have an incident response strategy to minimize the risk of business disruption and financial, operational, and reputational damage to your organization.",automatic
OE-03-04,03 - Operational Excellence,"Set up Monitoring, Alerting and Logging",Triggering actions in response to a specific event,,"Triggering actions in response to specific events helps automate processes and minimize the need to manually manage models and workflows.

Webhooks in the MLflow Model Registry enable you to automate machine learning workflow by
triggering actions in response to specific events. These webhooks facilitate seamless integrations, allowing for the automatic execution of various processes. For example, webhooks are used for: 
- CI workflow trigger: Validate your model automatically when creating a new version
- Team notifications: Send alerts through a messaging app when a model stage transition request is received
- Model fairness evaluation: Invoke a workflow to assess model fairness and bias upon a production transition request
- Automated deployment: Trigger a deployment pipeline when a new tag is created on a model

AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Triggering actions in response to a specific event.,Triggering actions in response to specific events helps automate processes and minimize the need to manually manage models and workflows.,automatic
OE-04-01,03 - Operational Excellence,Manage capacity and quotas,Manage service limits and quotas,Cloud; Databricks Platform,"Manage service limits and quotas is important for maintaining a well-functioning infrastructure and preventing unexpected costs. They prevent accidental provisioning of more resources than needed and limit API requests. As a result, they also protect against potential security incidents that may increase bills.

Every service launched on a cloud will have to take limits into account, such as access rate limits, number of instances, number of users, and memory requirements. For your cloud provider, check the cloud limits. Before designing a solution, these limits must be understood. 
AWS | Azure | GCP
AWS | Azure | GCP

""Databricks platform limits: These are specific limits for Databricks resources. The limits for the overall platform are documented in Limits.
AWS | Azure | GCP

Unity Catalog limits: Unity Catalog Resource Quotas
AWS | Azure | GCP",waf_controls_o,80,Percentage of applicable resources that satisfy: Manage service limits and quotas.,Manage service limits and quotas is important for maintaining a well-functioning infrastructure and preventing unexpected costs.,automatic
OE-04-02,03 - Operational Excellence,Manage capacity and quotas,Invest in capacity planning,Databricks Platform,"Capacity planning involves managing cloud resources, such as storage, compute, and networking to maintain performance while optimizing costs.

Understanding and planning for high priority (volume) events is important. If the provisioned cloud resources are not sufficients and workloads can't scale, such increases in volume will cause an outage. 

Plan for fluctuation in the expected load that can occur for several reasons like sudden business changes or even world events. Test variations of load, including unexpected ones, to ensure that your workloads can scale. Ensure all regions can adequately scale to support the total load if a region fails. To be taken into consideration:

- Technology and service limits and limitations of the cloud. 
- SLAs when determining the services to use in the design.
- Cost analysis to determine how much improvement will be realized in the application if costs are increased.",waf_controls_o,80,Percentage of applicable resources that satisfy: Invest in capacity planning.,"Capacity planning involves managing cloud resources, such as storage, compute, and networking to maintain performance while optimizing costs.",automatic
OE-EX01-01,03 - Operational Excellence,Workload criticality (extended),Tier workloads by business criticality (tier-1 / tier-2 / tier-3),Job tags; DLT settings; Cluster tags; Serving endpoint tags,"Without explicit criticality tiering, all production workloads are treated alike — a monthly report job gets the same alerting and redundancy as a real-time fraud detection pipeline. Tag every production workload with a tier label so SLA, redundancy, observability, and cost decisions are aligned with business impact.",waf_controls_o,90,"Percentage of production jobs, DLT pipelines, and serving endpoints that have a 'tier' or 'criticality' tag applied.","Define a tiering scheme (tier-1=revenue-critical, tier-2=important, tier-3=best-effort). Apply via tags. Verify tier-1 workloads have alerting, retry, and runbooks configured proportionally.",automatic
OE-EX02-01,03 - Operational Excellence,Operational governance (extended),"Formalize SDLC for production workloads (PR review, tests, approvals)",Databricks Git folders; CI/CD; Repos,"Existing OE BPs require CI/CD to exist (OE-01-03) but do not check that it is enforced. A formal SDLC means: required pull-request reviews on prod branches, mandatory test runs before merge, deployment approvals for tier-1 workloads, and signed commits where applicable. Without enforcement, CI/CD is theatre.",,,"Are production workloads deployed only through a formal SDLC with required PR reviews, automated tests, and explicit approvals? (yes/partial/no)",Configure branch protection rules in your Git provider for prod branches. Require CI checks to pass and at least one reviewer. Document the workload promotion path from dev to prod.,qualitative
OE-EX02-02,03 - Operational Excellence,Operational governance (extended),"Establish FinOps practice (cost ownership, regular reviews, chargeback)",Cluster tags; Budget policies; system.billing.usage,"Cost monitoring (CO-03-01) and tagging (CO-03-02) are necessary but insufficient. A FinOps practice means: every cost line has an owning team, a recurring (monthly or quarterly) review with stakeholders, an accepted chargeback or showback model, and budget alerts that trigger action — not just notification. Without these, cost data accumulates without changing behavior.",,,"Does the organization run a recurring FinOps review with cost ownership, chargeback/showback, and active budget alerts? (yes/partial/no)","Assign cost owners per cost_center tag. Schedule monthly cost review meetings. Configure budget policies with action thresholds (e.g., suspend non-tier-1 jobs over 120% of budget).",qualitative
OE-EX02-03,03 - Operational Excellence,Operational governance (extended),"Standardize operations: runbooks, on-call rotation, post-mortems",Documentation; Notification destinations; system.access.audit,"Mature operations requires that every tier-1 workload has a runbook (or pointer in tags), an on-call rotation, and a documented incident response process including post-mortems. These are organizational practices, not platform features, but their presence is an essential signal of operational maturity.",,,"Do tier-1 workloads have runbooks, an on-call rotation, and a post-mortem process? (yes/partial/no)",Create a runbook template. Tag tier-1 jobs with runbook_url. Set up an on-call rotation in your incident management tool. Schedule blameless post-mortems within 5 business days of any tier-1 incident.,qualitative
SCP-01-01,"04 - Security, Compliance and Privacy",Manage identity and access using least privilege,Authenticate via single sign-on.,Databricks SSO,"Single sign-on enables you to authenticate your users using your organization’s identity provider. Databricks recommends configuring SSO for greater security and improved usability. Once SSO is configured, you can enable fine-grained access control, such as multi-factor authentication, via your identity provider. Unified login allows you to manage one SSO configuration in your account that is used for the account and Databricks workspaces. If your account was created before June 21, 2023, you can also manage SSO individually on your account and workspaces. See Set up SSO in your Databricks account console and Set up SSO for your workspace. 

AWS | Azure | GCP",waf_controls_s,80,Percentage of applicable resources that satisfy: Authenticate via single sign-on.,Single sign-on enables you to authenticate your users using your organization’s identity provider.,automatic
SCP-01-02,"04 - Security, Compliance and Privacy",Manage identity and access using least privilege,Use multifactor authentication.,Databricks SSO,Use MFA with your identity provider and use SSO with databricks.,waf_controls_s,80,Percentage of applicable resources that satisfy: Use multifactor authentication.,Use MFA with your identity provider and use SSO with databricks.,automatic
SCP-01-03,"04 - Security, Compliance and Privacy",Manage identity and access using least privilege,Disable local passwords.,Databricks SSO,"Use SSO with databricks, to ensure no local password are used with databricks. for Admins Use a Password policy.
Databricks allows you to set a password policy for all users, including the Account Owner. You can set password length, complexity requirements, and expiration rules to ensure that passwords are secure and regularly updated.",waf_controls_s,80,Percentage of applicable resources that satisfy: Disable local passwords.,"Use SSO with databricks, to ensure no local password are used with databricks.",automatic
SCP-01-04,"04 - Security, Compliance and Privacy",Manage identity and access using least privilege,Set complex local passwords.,Databricks SSO,"Password policy: Databricks allows you to set a password policy for all users, including the Account Owner. You can set password length, complexity requirements, and expiration rules to ensure that passwords are secure and regularly updated.",waf_controls_s,80,Percentage of applicable resources that satisfy: Set complex local passwords.,"Password policy: Databricks allows you to set a password policy for all users, including the Account Owner.",automatic
SCP-01-05,"04 - Security, Compliance and Privacy",Manage identity and access using least privilege,Separate admin accounts from normal user accounts.,Databricks Admin,"There are two main levels of admin privileges available on the Databricks platform:

Account admins: Manage the Databricks account, including workspace creation, user management, cloud resources, and account usage monitoring.
AWS | Azure | GCP

Workspace admins: Manage workspace identities, access control, settings, and features for individual workspaces in the account.
AWS | Azure | GCP",waf_controls_s,80,Percentage of applicable resources that satisfy: Separate admin accounts from normal user accounts.,"There are two main levels of admin privileges available on the Databricks platform:

Account admins: Manage the Databricks account, including workspace creation, user management, cloud resources, and account usage monitoring.",automatic
